"Title","ID","Created Date","Updated Date","Owner","Age Group","Thumbnail Image","Description","URL","Tags","Printables (List)","Type","All Games (List)","Quizzes & Word Games (List)","Quran Games","Pillars of Islam Games","Ramadan Printables","Ebooks","Jigsaw Puzzles"
"Ayah Explorer - Surah Fatiha","6d226a25-db6f-4b6c-9888-e7ac284930e0",2025-03-11T16:23:19Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_566597a93334442ea741b74aacc36688~mv2.png/Screenshot%202025-03-11%20at%204.24.50%E2%80%AFPM.png#originWidth=931&originHeight=531","<p class=""font_8"">Line up the phrases in English to complete the Surah.</p>","https://www.islam4kids.org/ayah-explorer-fatiha","[""Educational"",""Quran"",""Prayer""]","/printables/","[""game"",""quran"",""word game""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Quran Jigsaw Puzzle","6dfe8ed0-f8f4-433b-8948-f50ebfd8e5d3",2025-03-17T14:15:20Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old""]","wix:image://v1/61ddda_7e75a4654c4b4dcb9cc7d6f72be58264~mv2.png/Screenshot%202025-03-17%20at%202.15.58%E2%80%AFPM.png#originWidth=522&originHeight=394","<p class=""font_8"">16-piece Quran jigsaw puzzle</p>","https://www.islam4kids.org/quran-jigsaw","[""Quran""]","/printables/","[""game"",""jigsaw"",""quran""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ramadan Tracker & Planner","8728dd4d-059e-497d-a890-d83171f1d2e0",2025-02-28T19:34:09Z,2025-03-19T20:53:36Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_7ea6c89fc3a545dca1ec710a2e7bacca~mv2.png/Green%20Cream%20Simple%20Aesthetic%20Ramadan%20Tracker%20Planner%20A4%20Document.png#originWidth=1414&originHeight=2000","<p class=""font_8"">Printable Ramadan tracker and planner in convenient PDF format.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_2ad68b6aac9e4d19ae6c2166f17e5b85.pdf","[""Ramadan""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Pillars of Islam Word Search","89bd882b-3ec6-4883-a7a0-773d1539dd06",2025-03-17T14:28:00Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_4e465d6304e94a5ba685d8d0ea4fb259~mv2.png/Crossword%202.PNG#originWidth=294&originHeight=180","<p class=""font_8"">Find the 5 pillars of Islam in English and English transliteration</p>","https://www.islam4kids.org/pillars-of-islam-word-search","[""Islamic Values""]","/printables/","[""game"",""word game"",""pillars""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ramadan Tracker for Kids","92216d4d-bbb5-498f-bca2-f231bc84bddb",2025-03-03T18:24:47Z,2025-03-19T20:54:07Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_584a94171282487f80699c851686e1e8~mv2.png/Ramadan%20Tracker%20Yellow%20Colorful%20Illustrated%20Planner.png#originWidth=1414&originHeight=2000","<p class=""font_8"">A simpler version of our Ramadan tracker, perfect for younger kids.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_fa9c78256eac4c56a824db91e2e61aad.pdf","[""Ramadan""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ramadan Meal Planner","a87f1df7-e3ca-4f85-963f-cdd6c797e5a9",2025-03-07T20:27:25Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_31e19ba58c4d44ab9c25049a20537602~mv2.png/Screenshot%202025-03-11%20at%201.22.23%E2%80%AFPM.png#originWidth=404&originHeight=566","<p class=""font_8"">Weekly Ramadan meal planner with shopping list</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_cd880205062449079077883cae097a3f.pdf","[""Ramadan""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ebook - Stories of the Sahabah for Little Muslims","ac74abf2-42e3-4c3c-ad4b-57231fb5986a",2025-03-11T19:56:23Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_ca01198a11fb4cf4814970c077dd8118~mv2.png/Screenshot%202025-03-11%20at%207.55.18%E2%80%AFPM.png#originWidth=608&originHeight=773","<p class=""font_8"">Get Your FREE Illustrated Book: Stories of the Sahabah for Little Muslims!</p>
<ul class=""font_8"">
  <li><p class=""font_8"">""Over 20 pages of engaging stories for children.""</p></li>
  <li><p class=""font_8"">""Includes parent guides and Quranic references.""</p></li>
  <li><p class=""font_8"">""Beautifully designed to inspire love for Islam.""</p></li>
</ul>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_d34e8805e3614a8dba04af401fb627f2.pdf","[""Ebook"",""Educational"",""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Pillars of Islam Matching","af52904a-d044-4faf-8f4f-8531219a2392",2025-03-12T21:50:20Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_966baf6b029f40e695769423ecc483a3~mv2.png/Screenshot%202025-03-12%20at%209.54.28%E2%80%AFPM.png#originWidth=533&originHeight=467","<p class=""font_8"">Memory with a twist! Can you match the English and Arabic names of the 5 pillars of Islam?</p>","https://www.islam4kids.org/pillars-of-islam-matching","[""Educational"",""Islamic Values""]","/printables/","[""game"",""word game"",""pillars""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Islamic Months Sort","b0ac3a09-8beb-41d0-a55d-e80a4388a793",2025-03-07T18:13:17Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_94b7d3fdcbdf42ba813530bc2ba26a66~mv2.png/Screenshot%202025-03-12%20at%209.37.57%E2%80%AFPM.png#originWidth=533&originHeight=467","<p class=""font_8"">Put the Islamic months in order!</p>","https://www.islam4kids.org/islamic-months-word-search","[""Educational""]","/printables/","[""word game"",""game"",""events"",""arabic""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Hajj Jigsaw Puzzle","b15701de-ffcc-44ed-8221-d8e0b30b8722",2025-03-17T14:18:44Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old""]","wix:image://v1/61ddda_e09df0062b8f4970b12fea0b49b1870b~mv2.png/Screenshot%202025-03-17%20at%202.18.35%E2%80%AFPM.png#originWidth=580&originHeight=394","<p class=""font_8"">16-piece hajj jigsaw puzzle</p>","https://www.islam4kids.org/hajj-jigsaw",,"/printables/","[""game"",""jigsaw"",""pillars""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Wudu Steps Sorting Puzzle","b3097d98-1387-4f5e-820a-644775927902",2025-03-07T20:07:36Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_8c9c09becf4543bda9b6984994f39d5e~mv2.png/Screenshot%202025-03-07%20at%208.07.29%E2%80%AFPM.png#originWidth=832&originHeight=668","<p class=""font_8"">Do you know the steps of wudu in order? Find out in the sorting game!</p>","https://www.islam4kids.org/wudu-steps-sort","[""Prayer"",""Educational""]","/printables/","[""game"",""sorting game"",""salah""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ramadan Gratitude Journal for Kids","b32732b2-1f59-48a1-af6f-1a59835cf9c4",2025-03-11T14:58:43Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_f4bc4600f6c34df4975e1596a492e32b~mv2.png/Screenshot%202025-03-11%20at%202.43.38%E2%80%AFPM.png#originWidth=404&originHeight=566","<p class=""font_8"">A different prompt daily to encourage your child to write or draw about things they are grateful for.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_034ff7e4aa4a45edbbc44f8e073bb974.pdf","[""Ramadan"",""Ebook"",""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ramadan Activity Book for Kids","ba40e45d-7c5e-442d-a43b-a045bd670095",2025-03-10T16:54:53Z,2025-03-21T02:00:55Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""9-11 years old"",""6-8 years old""]","wix:image://v1/61ddda_4cce67af9ce049c1a8c2bee4af95dcca~mv2.png/Screenshot%202025-03-10%20at%204.57.20%E2%80%AFPM.png#originWidth=383&originHeight=538","<p class=""font_8"">This Ramdan themed activity book has mazes, coloring pages, and more!</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_28e84d92231b462dbfd1668e75ecf364.pdf","[""Ramadan"",""Educational"",""Ebook""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Salat Movements For Kids Poster","cfa83024-2a96-4aba-8a53-ee2a7d618b45",2025-03-03T18:23:12Z,2025-03-19T20:57:00Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_02dbb556b9aa4e298752aee737dbdf45~mv2.png/Gray%20Illustrated%20Salat%20For%20Kids%20Infographic%20(800%20x%201000%20px).png#originWidth=500&originHeight=625","<p class=""font_8"">Printable infographic that helps kids remember the steps of the prayer.</p>","https://static.wixstatic.com/media/61ddda_2cc8ef2227ac4b9aa17f1c27116b03b3~mv2.jpg","[""Prayer"",""Educational""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Prayer Jigsaw Puzzle","d5ade648-6e4f-4db7-af00-1720b49584b3",2025-03-17T14:20:28Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old""]","wix:image://v1/61ddda_5fa4fc4a865c4f9bac60c706f36d219c~mv2.png/Screenshot%202025-03-17%20at%202.20.25%E2%80%AFPM.png#originWidth=580&originHeight=394","<p class=""font_8"">16-piece prayer jigsaw puzzle</p>","https://www.islam4kids.org/prayer-jigsaw","[""Prayer""]","/printables/","[""game"",""jigsaw"",""pillars"",""salah""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Pillars of Islam Poster Activity Printables","d6aa00d6-4d7d-472b-88a4-e4f682d48e22",2025-03-13T14:10:07Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f",,"wix:image://v1/61ddda_3fd21db117864e05b1fdee02ffd1671b~mv2.png/Kaaba%20(1).png#originWidth=500&originHeight=500","<p class=""font_8"">Printables for Pillars of Islam Lesson 1 Poster Activity</p>","https://static.wixstatic.com/media/61ddda_3fd21db117864e05b1fdee02ffd1671b~mv2.png",,"/printables/",,"/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"5 Pillars of Islam Quiz","da1f84ab-3dc2-4230-a8bc-5c68d32836b1",2025-03-07T20:11:03Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_60884f61dcb34e06b8373e999b684d23~mv2.png/Screenshot%202025-03-07%20at%208.10.57%E2%80%AFPM.png#originWidth=832&originHeight=414","<p class=""font_8"">Do you know all 5 pillars of Islam? Find out in this quiz.</p>","https://www.islam4kids.org/pillars-review","[""Islamic Values"",""Educational""]","/printables/","[""game"",""word game"",""quiz"",""pillars""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Shahadah Certificate","ddad6e95-e8b3-4f31-913b-e4aa23138185",2025-03-13T14:33:18Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f",,"wix:image://v1/61ddda_6f8c386af45a476b979c35a1ebcadfea~mv2.jpg/Shahadah%20Certificate.jpg#originWidth=2000&originHeight=1414","<p class=""font_8"">Fill in this certificate with your child's name to recognize that they learned and said the Shahadah.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_0c799fa5fab54036bb33807f255e28ff.pdf","[""Islamic Values""]","/printables/","[""printable"",""pillars""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"30 Day Baraka Challenge Worksheet","fd0d5b48-4835-4fcc-9bc9-316e9de67ae3",2025-03-03T18:21:28Z,2025-03-19T20:59:53Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_fd64858d64d64defad15269ad1c3f893~mv2.png/30%20Day%20Baraka%20Challenge%20Worksheet.png#originWidth=1060&originHeight=1500","<p class=""font_8"">Similar to our Ramadan 30-day challenge, this printable tracker can be used anytime of the year to help build habits that increase hassanat.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_5a2a30c1a76a4a4eac1145148faf3d02.pdf","[""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
